[19:55:46] [main/INFO]: Loading Minecraft 1.20.4 with Fabric Loader 0.15.11
[19:55:46] [main/INFO]: Loading 4 mods:
	- fabricloader 0.15.11
	   \-- mixinextras 0.3.5
	- java 21
	- minecraft 1.20.4
[19:55:46] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/workspaces/meowtrying/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.13.3+mixin.0.8.5/sponge-mixin-0.13.3+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[19:55:57] [main/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:261) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:379) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:431) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:159) ~[?:?]
	at net.minecraft.class_3808.method_16727(class_3808.java:62) ~[server-intermediary.jar:?]
	at net.minecraft.class_3806.method_16714(class_3806.java:138) ~[server-intermediary.jar:?]
	at net.minecraft.class_3807.<init>(class_3807.java:12) ~[server-intermediary.jar:?]
	at net.minecraft.server.Main.main(Main.java:112) ~[server-intermediary.jar:?]
	at net.fabricmc.loader.impl.game.minecraft.MinecraftGameProvider.launch(MinecraftGameProvider.java:470) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.loader.impl.launch.knot.Knot.launch(Knot.java:74) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.loader.impl.launch.knot.KnotServer.main(KnotServer.java:23) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.loader.impl.launch.server.FabricServerLauncher.main(FabricServerLauncher.java:69) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.installer.ServerLauncher.main(ServerLauncher.java:69) ~[fabric-server-launch.jar:1.0.1]
[19:55:58] [main/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[19:56:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:57:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[19:57:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[19:57:09] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[19:57:10] [Worker-Main-1/INFO]: Preparing spawn area: 45%
[19:57:10] [Worker-Main-1/INFO]: Preparing spawn area: 66%
[19:57:11] [Worker-Main-1/INFO]: Preparing spawn area: 67%
[19:57:11] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[19:57:12] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[19:57:12] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[19:57:13] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[19:57:13] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[19:57:14] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[19:57:14] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[19:57:15] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[19:57:15] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[19:57:16] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[19:57:16] [Worker-Main-1/INFO]: Preparing spawn area: 76%
[19:57:17] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[19:57:17] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[19:57:18] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[19:57:18] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[19:57:19] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[19:57:19] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[19:57:20] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[19:57:20] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[19:57:21] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[19:57:21] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[19:57:22] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[19:57:22] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[19:57:23] [Worker-Main-1/INFO]: Preparing spawn area: 89%
[19:57:23] [Worker-Main-1/INFO]: Preparing spawn area: 89%
[19:57:24] [Worker-Main-1/INFO]: Preparing spawn area: 89%
[19:57:24] [Worker-Main-1/INFO]: Preparing spawn area: 91%
[19:57:25] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[19:57:25] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[19:57:26] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[19:57:26] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[19:57:27] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[19:57:27] [Server thread/INFO]: Time elapsed: 61692 ms
[19:57:27] [Server thread/INFO]: Done (80.847s)! For help, type "help"
[19:58:29] [Server thread/INFO]: Stopping the server
[19:58:29] [Server thread/INFO]: Stopping server
[19:58:29] [Server thread/INFO]: Saving players
[19:58:29] [Server thread/INFO]: Saving worlds
[19:58:31] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[19:58:56] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[19:58:56] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[19:58:56] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[19:58:56] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[19:58:56] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[19:58:56] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
